,nrOfConversations,longestConversation,longestConversationInDays,averageConversationLength,averageConversationLengthInDays,medianConversationLength,medianConversationLengthInDays,nrOfOneMessageConversations,percentOfOneMessageConversations,nrOfGhostingsAfterInitialMessage,ageFilterMin,ageFilterMax,appOpens,matches,messagesReceived,messagesSent,swipeLikes,swipePasses,birthYear,createYear,F,M,bisexual,gay,straight,swipeRatio,successRate,accountAge,averagenrofConversations_annual,averagenrofOneMessageConversations_annual,averageMatches_annual,totalSwipes,averageSwipes_annual,averageappOpens_annual,messagesRatio,averagenrOfGhostingsAfterInitialMessage_annual,ghostingPercentage,ageFilterRange,swipesPerappOpen
17,390,583,165.49141203703704,22.156410256410258,4.544774810066476,4,0.08015046296296297,157,40.256410256410255,1,32,42,20200,422,7639,7868,27120,24922,1981,2014,0,1,0,0,1,1.0881951689270524,0.01556047197640118,8,48.75,19.625,52.75,52042,6505.25,2525.0,0.97089476359939,0.125,0.002564102564102564,10,2.576336633663366
18,102,72,91.48616898148148,3.8823529411764706,3.146722948438635,1,0.0,46,45.09803921568628,10,18,26,2940,206,350,390,11552,10116,1998,2018,0,1,0,0,1,1.1419533412415974,0.01783240997229917,4,25.5,11.5,51.5,21668,5417.0,735.0,0.8974358974358975,2.5,0.09803921568627451,8,7.370068027210884
20,32,8,4.034652777777778,2.53125,0.40659866898148156,1,0.0,18,56.25,1,28,36,2512,53,69,61,8212,18709,1985,2017,0,1,0,0,1,0.43893313378587845,0.006453969800292256,5,6.4,3.6,10.6,26921,5384.2,502.4,1.1311475409836065,0.2,0.03125,8,10.716958598726114
22,113,147,202.14248842592593,12.929203539823009,2.5804019174041293,5,0.03449074074074074,28,24.778761061946902,1,21,45,12402,865,1582,1461,103464,94647,1996,2015,0,1,0,0,1,1.0931566769152747,0.00836039588649192,7,16.142857142857142,4.0,123.57142857142857,198111,28301.571428571428,1771.7142857142858,1.0828199863107462,0.14285714285714285,0.008849557522123894,24,15.974117077890662
23,106,62,608.2276273148149,5.7075471698113205,16.30451454402516,2,0.0004976851851851852,35,33.0188679245283,4,18,50,6120,282,377,493,52421,62915,1994,2016,0,1,0,0,1,0.8332035285702932,0.005379523473417142,6,17.666666666666668,5.833333333333333,47.0,115336,19222.666666666668,1020.0,0.7647058823529411,0.6666666666666666,0.03773584905660377,32,18.84575163398693
24,166,113,30.959988425925925,5.240963855421687,1.4935139865015619,1,0.0,31,18.67469879518072,72,25,34,4988,998,945,701,69244,22003,1987,2015,0,1,0,0,1,3.1470254056265055,0.014412801109121368,7,23.714285714285715,4.428571428571429,142.57142857142858,91247,13035.285714285714,712.5714285714286,1.3480741797432239,10.285714285714286,0.43373493975903615,9,18.293303929430632
26,250,112,92.96663194444444,8.1,1.3714424537037038,2,0.03715277777777778,68,27.200000000000003,26,20,25,5380,474,986,1093,19690,7562,1999,2020,0,1,0,0,1,2.603808516265538,0.024073133570340275,2,125.0,34.0,237.0,27252,13626.0,2690.0,0.9021043000914913,13.0,0.104,5,5.065427509293681
27,55,32,8.50170138888889,3.2545454545454544,0.4419269781144781,1,0.0,30,54.54545454545454,2,24,32,3650,75,128,166,57582,64257,1992,2014,0,1,0,0,1,0.8961202670526168,0.0013024903615713244,8,6.875,3.75,9.375,121839,15229.875,456.25,0.7710843373493976,0.25,0.03636363636363636,8,33.38054794520548
28,2,3,0.025717592592592594,2.0,0.012858796296296297,3,0.025717592592592594,1,50.0,0,23,24,8047,1,2,4,346,22847,1982,2017,0,1,0,0,1,0.015144220247734933,0.002890173410404624,5,0.4,0.2,0.2,23193,4638.6,1609.4,0.5,0.0,0.0,1,2.8821921212874364
33,4,4,0.45005787037037037,1.75,0.11251446759259259,1,0.0,3,75.0,0,18,1000,877,16,4,7,6026,8342,1996,2020,0,1,0,0,1,0.7223687365140254,0.002655160969133754,2,2.0,1.5,8.0,14368,7184.0,438.5,0.5714285714285714,0.0,0.0,982,16.383124287343215
36,75,61,52.659930555555555,8.333333333333334,6.348880092592592,4,0.2604398148148148,13,17.333333333333336,5,18,80,1634,93,398,625,4760,7512,1991,2020,0,1,0,0,1,0.6336528221512248,0.01953781512605042,2,37.5,6.5,46.5,12272,6136.0,817.0,0.6368,2.5,0.06666666666666667,62,7.510403916768666
40,643,35,162.52880787037037,2.300155520995334,2.0156087458959737,1,0.0,205,31.88180404354588,259,24,35,12314,2611,1816,1329,24419,106036,1992,2018,0,1,0,1,0,0.23028971292768494,0.10692493550104427,4,160.75,51.25,652.75,130455,32613.75,3078.5,1.3664409330323553,64.75,0.40279937791601866,11,10.594039304856262
42,22,165,55.555543981481485,15.772727272727273,4.053301241582492,2,0.021655092592592594,9,40.909090909090914,0,18,40,295,6,76,111,1005,11719,1987,2021,0,1,0,0,1,0.08575817049236283,0.005970149253731343,1,22.0,9.0,6.0,12724,12724.0,295.0,0.6846846846846847,0.0,0.0,22,43.13220338983051
44,417,164,401.12481481481484,5.486810551558753,3.001109945377032,3,0.02420138888888889,86,20.623501199040767,53,22,32,9075,1427,2973,2290,2157,41445,1997,2017,1,0,0,0,1,0.05204487875497647,0.6615669911914697,5,83.4,17.2,285.4,43602,8720.4,1815.0,1.2982532751091702,10.6,0.12709832134292565,10,4.804628099173554
45,21,36,7.010335648148148,4.619047619047619,0.5485394620811286,2,0.0002777777777777778,4,19.047619047619047,3,18,23,593,18,52,79,7247,7662,1999,2020,0,1,0,0,1,0.9458365961889846,0.0024837863943700843,2,10.5,2.0,9.0,14909,7454.5,296.5,0.6582278481012658,1.5,0.14285714285714285,5,25.141652613827993
46,418,103,268.2776736111111,4.820574162679426,4.018915553561935,1,0.0,213,50.95693779904307,8,21,28,2183,431,1087,1233,952,1782,1996,2020,0,1,0,0,1,0.5342312008978676,0.4527310924369748,2,209.0,106.5,215.5,2734,1367.0,1091.5,0.8815896188158961,4.0,0.019138755980861243,7,1.2524049473202015
47,238,220,29.84353009259259,9.142857142857142,2.2740257352941167,3,0.3271412037037037,58,24.369747899159663,3,18,25,17243,233,1633,2000,66484,156483,1999,2017,0,1,0,0,1,0.42486404273946693,0.0035046026111545635,5,47.6,11.6,46.6,222967,44593.4,3448.6,0.8165,0.6,0.012605042016806723,7,12.930870498173173
48,60,200,780.7006134259259,14.783333333333333,16.39491512345679,2,0.03519675925925926,25,41.66666666666667,0,22,31,2817,82,822,881,7525,5880,1993,2017,0,1,0,0,1,1.2797619047619047,0.010897009966777409,5,12.0,5.0,16.4,13405,2681.0,563.4,0.9330306469920545,0.0,0.0,9,4.758608448704296
49,136,99,91.9318287037037,10.661764705882353,1.815113187636165,5,0.02525462962962963,28,20.588235294117645,6,18,24,1303,182,572,668,1920,2271,2002,2021,0,1,0,0,1,0.845442536327609,0.09479166666666666,1,136.0,28.0,182.0,4191,4191.0,1303.0,0.8562874251497006,6.0,0.04411764705882353,6,3.216423637759018
50,7,13,1.9088541666666667,3.857142857142857,0.27387235449735453,2,0.0005902777777777778,0,0.0,0,21,36,781,15,4,12,2912,12285,1986,2016,0,1,0,0,1,0.23703703703703705,0.005151098901098901,6,1.1666666666666667,0.0,2.5,15197,2532.8333333333335,130.16666666666666,0.3333333333333333,0.0,0.0,15,19.458386683738798
52,361,19,258.299375,0.14681440443213298,0.8376872050374475,0,0.0,4,1.10803324099723,348,18,45,3125,2557,813,22,11125,101757,1988,2014,0,1,0,0,1,0.10932908792515503,0.22984269662921347,8,45.125,0.5,319.625,112882,14110.25,390.625,36.95454545454545,43.5,0.96398891966759,27,36.12224
53,556,124,71.90373842592592,6.485611510791367,2.157837480015987,3,0.19061342592592592,187,33.63309352517986,1,18,35,1152,595,1415,1591,4579,4497,1998,2021,0,1,0,0,1,1.0182343784745387,0.1299410351605154,1,556.0,187.0,595.0,9076,9076.0,1152.0,0.8893777498428661,1.0,0.0017985611510791368,17,7.878472222222222
